id,title,topic_tags,difficulty,problem_URL,solution_URL
1,Two Sum,"{Array,Hash Table}",Easy,https://leetcode.com/problems/two-sum,https://leetcode.com/problems/two-sum/solution
2,Add Two Numbers,"{Linked List,Math,Recursion}",Medium,https://leetcode.com/problems/add-two-numbers,https://leetcode.com/problems/add-two-numbers/solution
3,Longest Substring Without Repeating Characters,"{Hash Table,String,Sliding Window}",Medium,https://leetcode.com/problems/longest-substring-without-repeating-characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/solution
4,Median of Two Sorted Arrays,"{Array,Binary Search,Divide and Conquer}",Hard,https://leetcode.com/problems/median-of-two-sorted-arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/solution
5,Longest Palindromic Substring,"{String,Dynamic Programming}",Medium,https://leetcode.com/problems/longest-palindromic-substring,https://leetcode.com/problems/longest-palindromic-substring/solution
6,Zigzag Conversion,{String},Medium,https://leetcode.com/problems/zigzag-conversion,https://leetcode.com/problems/zigzag-conversion/solution
7,Reverse Integer,{Math},Medium,https://leetcode.com/problems/reverse-integer,https://leetcode.com/problems/reverse-integer/solution
8,String to Integer (atoi),{String},Medium,https://leetcode.com/problems/string-to-integer-atoi,https://leetcode.com/problems/string-to-integer-atoi/solution
9,Palindrome Number,{Math},Easy,https://leetcode.com/problems/palindrome-number,https://leetcode.com/problems/palindrome-number/solution
10,Regular Expression Matching,"{String,Dynamic Programming,Recursion}",Hard,https://leetcode.com/problems/regular-expression-matching,https://leetcode.com/problems/regular-expression-matching/solution
11,Container With Most Water,"{Array,Two Pointers,Greedy}",Medium,https://leetcode.com/problems/container-with-most-water,https://leetcode.com/problems/container-with-most-water/solution
12,Integer to Roman,"{Hash Table,Math,String}",Medium,https://leetcode.com/problems/integer-to-roman,https://leetcode.com/problems/integer-to-roman/solution
13,Roman to Integer,"{Hash Table,Math,String}",Easy,https://leetcode.com/problems/roman-to-integer,https://leetcode.com/problems/roman-to-integer/solution
14,Longest Common Prefix,"{String,Trie}",Easy,https://leetcode.com/problems/longest-common-prefix,https://leetcode.com/problems/longest-common-prefix/solution
15,3Sum,"{Array,Two Pointers,Sorting}",Medium,https://leetcode.com/problems/3sum,https://leetcode.com/problems/3sum/solution
16,3Sum Closest,"{Array,Two Pointers,Sorting}",Medium,https://leetcode.com/problems/3sum-closest,https://leetcode.com/problems/3sum-closest/solution
17,Letter Combinations of a Phone Number,"{Hash Table,String,Backtracking}",Medium,https://leetcode.com/problems/letter-combinations-of-a-phone-number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/solution
